ISO 8601 Time,Dissolved Oxygen (mg/l),Dissolved Oxygen (%),DO Temperature (C),latitude_stop,longitude_stop,latitude_start,longitude_start,logger_sn,trip_id
2020-06-04T11:48:58.000,8.1,70.92,9.51,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T12:03:58.000,8.47,74.44,9.66,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T12:18:58.000,8.44,74.12,9.61,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T12:33:58.000,8.47,74.52,9.7,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T12:48:58.000,9.1,80.38,9.86,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T13:03:58.000,8.5,74.7,9.69,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T13:18:58.000,8.35,73.28,9.6,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T13:33:58.000,8.04,70.34,9.49,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T13:48:58.000,7.82,68.33,9.42,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T14:03:58.000,7.09,61.7,9.26,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T14:18:58.000,6.94,60.33,9.21,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T14:33:58.000,6.83,59.35,9.16,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T14:48:58.000,6.76,58.72,9.15,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T15:03:58.000,6.72,58.3,9.13,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T15:18:58.000,6.71,58.18,9.11,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T15:33:58.000,6.68,57.91,9.11,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T15:48:58.000,6.67,57.87,9.11,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T16:03:58.000,6.68,57.95,9.11,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T16:18:58.000,6.6,57.23,9.11,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T16:33:58.000,6.57,56.99,9.09,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T16:48:58.000,6.58,57.01,9.09,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T17:03:58.000,6.56,56.88,9.09,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T17:18:58.000,6.48,56.18,9.08,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T17:33:58.000,6.8,58.98,9.13,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T17:48:58.000,6.99,60.71,9.16,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T18:03:58.000,7.08,61.54,9.2,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T18:18:58.000,7.25,63.13,9.26,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T18:33:58.000,7.52,65.57,9.32,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T18:48:58.000,7.56,65.9,9.33,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T19:03:58.000,7.59,66.2,9.35,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T19:18:58.000,7.3,63.58,9.28,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T19:33:58.000,7.2,62.69,9.26,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T19:48:58.000,7.15,62.2,9.24,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T20:03:58.000,7.06,61.46,9.23,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T20:18:58.000,7.18,62.5,9.29,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T20:33:58.000,7.22,62.85,9.26,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T20:48:58.000,7.14,62.13,9.25,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T21:03:58.000,7.15,62.22,9.26,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T21:18:58.000,7.18,62.49,9.26,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T21:33:58.000,7.17,62.41,9.27,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T21:48:58.000,7.22,62.91,9.3,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T22:03:58.000,7.3,63.65,9.35,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
2020-06-04T22:18:58.000,7.59,66.37,9.44,NaN,NaN,45.98649,-123.974066,2002002,61b8313b-6854-49a5-b290-b0818890a19e
